No,KASUS PERLINDUNGAN ANAK,Tahun,kode_kabupaten_kota,total_kekerasan_anak,total_kdrt
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3201,2.137240965927333,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3202,0.862777920808908,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3203,0.782137521284853,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3204,1.3504056175117805,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3205,1.0564027526921045,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3206,0.5655981081454508,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3207,0.3444453611690682,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3208,0.3406093656342904,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3209,0.9072720892805832,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3210,0.3680189901162725,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3211,0.3495318574508666,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3212,0.7283659891629894,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3213,0.5973844852420033,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3214,0.3375676070604583,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3215,0.786125604748323,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3216,1.2440285607213526,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3217,0.5543942973985001,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3218,0.1135589867564205,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3271,0.3603469990467152,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3272,0.1104327348888707,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3273,0.7879506598926227,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3274,0.1007160061113488,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3275,0.9409511161564098,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3276,0.7789605734410737,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3277,0.2006715725792417,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3278,0.2213217335638163,
101,Anak Terlantar (Anak Penyandang Masalah Kesejahteraan Sosial),2016,3279,0.072782523208319,
101,Balita Terlantar (Korban),2016,3201,0.5028802272770196,
101,Balita Terlantar (Korban),2016,3202,0.203006569602096,
101,Balita Terlantar (Korban),2016,3203,0.1840323579493772,
101,Balita Terlantar (Korban),2016,3204,0.317742498238066,
101,Balita Terlantar (Korban),2016,3205,0.2485653535746128,
101,Balita Terlantar (Korban),2016,3206,0.1330819077989296,
101,Balita Terlantar (Korban),2016,3207,0.0810459673338984,
101,Balita Terlantar (Korban),2016,3208,0.0801433801492448,
101,Balita Terlantar (Korban),2016,3209,0.2134757857130784,
101,Balita Terlantar (Korban),2016,3210,0.08659270355677,
101,Balita Terlantar (Korban),2016,3211,0.0822427899884392,
101,Balita Terlantar (Korban),2016,3212,0.1713802327442328,
101,Balita Terlantar (Korban),2016,3213,0.1405610553510596,
101,Balita Terlantar (Korban),2016,3214,0.0794276722495196,
101,Balita Terlantar (Korban),2016,3215,0.1849707305290172,
101,Balita Terlantar (Korban),2016,3216,0.2927126025226712,
101,Balita Terlantar (Korban),2016,3217,0.1304457170349412,
101,Balita Terlantar (Korban),2016,3218,0.026719761589746,
101,Balita Terlantar (Korban),2016,3271,0.0847875291874624,
101,Balita Terlantar (Korban),2016,3272,0.0259841729150284,
101,Balita Terlantar (Korban),2016,3273,0.1854001552688524,
101,Balita Terlantar (Korban),2016,3274,0.0236978837909056,
101,Balita Terlantar (Korban),2016,3275,0.2214002626250376,
101,Balita Terlantar (Korban),2016,3276,0.1832848408096644,
101,Balita Terlantar (Korban),2016,3277,0.0472168406068804,
101,Balita Terlantar (Korban),2016,3278,0.0520757020150156,
101,Balita Terlantar (Korban),2016,3279,0.017125299578428,
101,Anak Terlantar (Korban),2016,3201,0.6286002840962746,
101,Anak Terlantar (Korban),2016,3202,0.25375821200262,
101,Anak Terlantar (Korban),2016,3203,0.2300404474367215,
101,Anak Terlantar (Korban),2016,3204,0.3971781227975824,
101,Anak Terlantar (Korban),2016,3205,0.310706691968266,
101,Anak Terlantar (Korban),2016,3206,0.1663523847486619,
101,Anak Terlantar (Korban),2016,3207,0.101307459167373,
101,Anak Terlantar (Korban),2016,3208,0.100179225186556,
101,Anak Terlantar (Korban),2016,3209,0.266844732141348,
101,Anak Terlantar (Korban),2016,3210,0.1082408794459625,
101,Anak Terlantar (Korban),2016,3211,0.102803487485549,
101,Anak Terlantar (Korban),2016,3212,0.214225290930291,
101,Anak Terlantar (Korban),2016,3213,0.1757013191888244,
101,Anak Terlantar (Korban),2016,3214,0.0992845903118995,
101,Anak Terlantar (Korban),2016,3215,0.2312134131612714,
101,Anak Terlantar (Korban),2016,3216,0.3658907531533389,
101,Anak Terlantar (Korban),2016,3217,0.1630571462936765,
101,Anak Terlantar (Korban),2016,3218,0.0333997019871825,
101,Anak Terlantar (Korban),2016,3271,0.105984411484328,
101,Anak Terlantar (Korban),2016,3272,0.0324802161437855,
101,Anak Terlantar (Korban),2016,3273,0.2317501940860655,
101,Anak Terlantar (Korban),2016,3274,0.029622354738632,
101,Anak Terlantar (Korban),2016,3275,0.276750328281297,
101,Anak Terlantar (Korban),2016,3276,0.2291060510120804,
101,Anak Terlantar (Korban),2016,3277,0.0590210507586005,
101,Anak Terlantar (Korban),2016,3278,0.0650946275187695,
101,Anak Terlantar (Korban),2016,3279,0.021406624473035,
101,Anak Mengemis (Korban),2016,3201,0.2514401136385098,
101,Anak Mengemis (Korban),2016,3202,0.101503284801048,
101,Anak Mengemis (Korban),2016,3203,0.0920161789746886,
101,Anak Mengemis (Korban),2016,3204,0.158871249119033,
101,Anak Mengemis (Korban),2016,3205,0.1242826767873064,
101,Anak Mengemis (Korban),2016,3206,0.0665409538994648,
101,Anak Mengemis (Korban),2016,3207,0.0405229836669492,
101,Anak Mengemis (Korban),2016,3208,0.0400716900746224,
101,Anak Mengemis (Korban),2016,3209,0.1067378928565392,
101,Anak Mengemis (Korban),2016,3210,0.043296351778385,
101,Anak Mengemis (Korban),2016,3211,0.0411213949942196,
101,Anak Mengemis (Korban),2016,3212,0.0856901163721164,
101,Anak Mengemis (Korban),2016,3213,0.0702805276755298,
101,Anak Mengemis (Korban),2016,3214,0.0397138361247598,
101,Anak Mengemis (Korban),2016,3215,0.0924853652645086,
101,Anak Mengemis (Korban),2016,3216,0.1463563012613356,
101,Anak Mengemis (Korban),2016,3217,0.0652228585174706,
101,Anak Mengemis (Korban),2016,3218,0.013359880794873,
101,Anak Mengemis (Korban),2016,3271,0.0423937645937312,
101,Anak Mengemis (Korban),2016,3272,0.0129920864575142,
101,Anak Mengemis (Korban),2016,3273,0.0927000776344262,
101,Anak Mengemis (Korban),2016,3274,0.0118489418954528,
101,Anak Mengemis (Korban),2016,3275,0.1107001313125188,
101,Anak Mengemis (Korban),2016,3276,0.0916424204048322,
101,Anak Mengemis (Korban),2016,3277,0.0236084203034402,
101,Anak Mengemis (Korban),2016,3278,0.0260378510075078,
101,Anak Mengemis (Korban),2016,3279,0.008562649789214,
101,Anak Jalanan (Korban),2016,3201,0.2514401136385098,
101,Anak Jalanan (Korban),2016,3202,0.101503284801048,
101,Anak Jalanan (Korban),2016,3203,0.0920161789746886,
101,Anak Jalanan (Korban),2016,3204,0.158871249119033,
101,Anak Jalanan (Korban),2016,3205,0.1242826767873064,
101,Anak Jalanan (Korban),2016,3206,0.0665409538994648,
101,Anak Jalanan (Korban),2016,3207,0.0405229836669492,
101,Anak Jalanan (Korban),2016,3208,0.0400716900746224,
101,Anak Jalanan (Korban),2016,3209,0.1067378928565392,
101,Anak Jalanan (Korban),2016,3210,0.043296351778385,
101,Anak Jalanan (Korban),2016,3211,0.0411213949942196,
101,Anak Jalanan (Korban),2016,3212,0.0856901163721164,
101,Anak Jalanan (Korban),2016,3213,0.0702805276755298,
101,Anak Jalanan (Korban),2016,3214,0.0397138361247598,
101,Anak Jalanan (Korban),2016,3215,0.0924853652645086,
101,Anak Jalanan (Korban),2016,3216,0.1463563012613356,
101,Anak Jalanan (Korban),2016,3217,0.0652228585174706,
101,Anak Jalanan (Korban),2016,3218,0.013359880794873,
101,Anak Jalanan (Korban),2016,3271,0.0423937645937312,
101,Anak Jalanan (Korban),2016,3272,0.0129920864575142,
101,Anak Jalanan (Korban),2016,3273,0.0927000776344262,
101,Anak Jalanan (Korban),2016,3274,0.0118489418954528,
101,Anak Jalanan (Korban),2016,3275,0.1107001313125188,
101,Anak Jalanan (Korban),2016,3276,0.0916424204048322,
101,Anak Jalanan (Korban),2016,3277,0.0236084203034402,
101,Anak Jalanan (Korban),2016,3278,0.0260378510075078,
101,Anak Jalanan (Korban),2016,3279,0.008562649789214,
101,Anak Gelandangan (Korban),2016,3201,0.1257200568192549,
101,Anak Gelandangan (Korban),2016,3202,0.050751642400524,
101,Anak Gelandangan (Korban),2016,3203,0.0460080894873443,
101,Anak Gelandangan (Korban),2016,3204,0.0794356245595165,
101,Anak Gelandangan (Korban),2016,3205,0.0621413383936532,
101,Anak Gelandangan (Korban),2016,3206,0.0332704769497324,
101,Anak Gelandangan (Korban),2016,3207,0.0202614918334746,
101,Anak Gelandangan (Korban),2016,3208,0.0200358450373112,
101,Anak Gelandangan (Korban),2016,3209,0.0533689464282696,
101,Anak Gelandangan (Korban),2016,3210,0.0216481758891925,
101,Anak Gelandangan (Korban),2016,3211,0.0205606974971098,
101,Anak Gelandangan (Korban),2016,3212,0.0428450581860582,
101,Anak Gelandangan (Korban),2016,3213,0.0351402638377649,
101,Anak Gelandangan (Korban),2016,3214,0.0198569180623799,
101,Anak Gelandangan (Korban),2016,3215,0.0462426826322543,
101,Anak Gelandangan (Korban),2016,3216,0.0731781506306678,
101,Anak Gelandangan (Korban),2016,3217,0.0326114292587353,
101,Anak Gelandangan (Korban),2016,3218,0.0066799403974365,
101,Anak Gelandangan (Korban),2016,3271,0.0211968822968656,
101,Anak Gelandangan (Korban),2016,3272,0.0064960432287571,
101,Anak Gelandangan (Korban),2016,3273,0.0463500388172131,
101,Anak Gelandangan (Korban),2016,3274,0.0059244709477264,
101,Anak Gelandangan (Korban),2016,3275,0.0553500656562594,
101,Anak Gelandangan (Korban),2016,3276,0.0458212102024161,
101,Anak Gelandangan (Korban),2016,3277,0.0118042101517201,
101,Anak Gelandangan (Korban),2016,3278,0.0130189255037539,
